Cycle	Pathway	k_number	Detail
		K03389	hdrB2; heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
		K03390	hdrC2; heterodisulfide reductase subunit C2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
		K08264	hdrD; heterodisulfide reductase subunit D [EC:1.8.98.1]
		K08265	hdrE; heterodisulfide reductase subunit E [EC:1.8.98.1]
		K14126	"mvhA, vhuA, vhcA; F420-non-reducing hydrogenase large subunit [EC:1.12.99.- 1.8.98.5]"
		K14128	"mvhG, vhuG, vhcG; F420-non-reducing hydrogenase small subunit [EC:1.12.99.- 1.8.98.5]"
		K14127	"mvhD, vhuD, vhcD; F420-non-reducing hydrogenase iron-sulfur subunit [EC:1.12.99.- 1.8.98.5 1.8.98.6]"
		K22516	fdhA; formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6]
		K00125	fdhB; formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]
	"Methanogenesis, CO2 => methane"	K00200	"fwdA, fmdA; formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]"
		K00201	"fwdB, fmdB; formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]"
		K00202	"fwdC, fmdC; formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]"
		K00203	"fwdD, fmdD; formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]"
		K11261	"fwdE, fmdE; formylmethanofuran dehydrogenase subunit E [EC:1.2.7.12]"
		K00205	"fwdF, fmdF; 4Fe-4S ferredoxin"
		K11260	fwdG; 4Fe-4S ferredoxin
		K00204	fwdH; 4Fe-4S ferredoxin
		K00672	ftr; formylmethanofuran--tetrahydromethanopterin N-formyltransferase [EC:2.3.1.101]
		K01499	mch; methenyltetrahydromethanopterin cyclohydrolase [EC:3.5.4.27]
		K00319	mtd; methylenetetrahydromethanopterin dehydrogenase [EC:1.5.98.1]
		K13942	"hmd; 5,10-methenyltetrahydromethanopterin hydrogenase [EC:1.12.98.2]"
		K00320	"mer; 5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]"
		K00577	mtrA; tetrahydromethanopterin S-methyltransferase subunit A [EC:2.1.1.86]
		K00578	mtrB; tetrahydromethanopterin S-methyltransferase subunit B [EC:2.1.1.86]
		K00579	mtrC; tetrahydromethanopterin S-methyltransferase subunit C [EC:2.1.1.86]
		K00580	mtrD; tetrahydromethanopterin S-methyltransferase subunit D [EC:2.1.1.86]
		K00581	mtrE; tetrahydromethanopterin S-methyltransferase subunit E [EC:2.1.1.86]
		K00582	mtrF; tetrahydromethanopterin S-methyltransferase subunit F [EC:2.1.1.86]
		K00583	mtrG; tetrahydromethanopterin S-methyltransferase subunit G [EC:2.1.1.86]
		K00584	mtrH; tetrahydromethanopterin S-methyltransferase subunit H [EC:2.1.1.86]
		K00399	mcrA; methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]
		K00401	mcrB; methyl-coenzyme M reductase beta subunit [EC:2.8.4.1]
		K00402	mcrG; methyl-coenzyme M reductase gamma subunit [EC:2.8.4.1]
		K22480	hdrA1; heterodisulfide reductase subunit A1 [EC:1.8.7.3]
		K22481	hdrB1; heterodisulfide reductase subunit B1 [EC:1.8.7.3]
		K22482	hdrC1; heterodisulfide reductase subunit C1 [EC:1.8.7.3]
		K03388	hdrA2; heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
		K03389	hdrB2; heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
		K03390	hdrC2; heterodisulfide reductase subunit C2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
		K08264	hdrD; heterodisulfide reductase subunit D [EC:1.8.98.1]
		K08265	hdrE; heterodisulfide reductase subunit E [EC:1.8.98.1]
		K14126	"mvhA, vhuA, vhcA; F420-non-reducing hydrogenase large subunit [EC:1.12.99.- 1.8.98.5]"
		K14128	"mvhG, vhuG, vhcG; F420-non-reducing hydrogenase small subunit [EC:1.12.99.- 1.8.98.5]"
		K14127	"mvhD, vhuD, vhcD; F420-non-reducing hydrogenase iron-sulfur subunit [EC:1.12.99.- 1.8.98.5 1.8.98.6]"
		K22516	fdhA; formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6]
		K00125	fdhB; formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]
	"Methanogenesis, methylamine -> methane"	K14082	mtbA; [methyl-Co(III) methylamine-specific corrinoid
		K16177	mtmC; monomethylamine corrinoid protein
		K16176	mtmB; methylamine-corrinoid protein Co-methyltransferase (non-essential)
		K00399	mcrA; methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]
		K00401	mcrB; methyl-coenzyme M reductase beta subunit [EC:2.8.4.1]
		K00402	mcrG; methyl-coenzyme M reductase gamma subunit [EC:2.8.4.1]
	"Methanogenesis, dimethylamine -> methane"	K14082	mtbA; [methyl-Co(III) methylamine-specific corrinoid protein]:coenzyme M methyltransferase [EC:2.1.1.247]
		K16179	mtbC; dimethylamine corrinoid protein
		K16178	mtbB; dimethylamine corrinoid protein Co-methyltransferase (non-essential)
		K00399	mcrA; methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]
		K00401	mcrB; methyl-coenzyme M reductase beta subunit [EC:2.8.4.1]
		K00402	mcrG; methyl-coenzyme M reductase gamma subunit [EC:2.8.4.1]
	"Methanogenesis, trimethylamine -> methane"	K14082	mtbA; [methyl-Co(III) methylamine-specific corrinoid protein]:coenzyme M methyltransferase [EC:2.1.1.247]
		K14084	mttC; trimethylamine corrinoid protein
		K14083	mttB; trimethylamine methyltransferase (non-essential)
		K00399	mcrA; methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]
		K00401	mcrB; methyl-coenzyme M reductase beta subunit [EC:2.8.4.1]
		K00402	mcrG; methyl-coenzyme M reductase gamma subunit [EC:2.8.4.1]
	"Methane oxidation, methane -> methanol"	K16157	mmoX; methane monooxygenase component A alpha chain [EC:1.14.13.25]
		K16158	mmoY; methane monooxygenase component A beta chain [EC:1.14.13.25]
		K16159	mmoZ; methane monooxygenase component A gamma chain [EC:1.14.13.25]
		K16160	mmoB; methane monooxygenase regulatory protein B
		K16161	mmoC; methane monooxygenase component C [EC:1.14.13.25]
		K16162	mmoD; methane monooxygenase component D
		K10944	pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]
		K10945	pmoB-amoB; methane/ammonia monooxygenase subunit B
		K10946	pmoC-amoC; methane/ammonia monooxygenase subunit C
	"Methane oxidation, methanol -> Formaldehyde"	K14028	"mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]"
		K14029	"mdh2, mxaI; methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]"
		K23995	xoxF; lanthanide-dependent methanol dehydrogenase [EC:1.1.2.10]
Fermentation	Mixed acid: lactate (Pyruvate to Lactate)	K00016	LDH; L-lactate dehydrogenase
	Mixed acid: formate	K00656	"E2.3.1.54, pflD; formate C-acetyltransferase [EC:2.3.1.54]"
	Mixed acid: formate to CO2 & H2	K00122	FDH; formate dehydrogenase [EC:1.17.1.9]
		K00123	"fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]"
		K00124	"fdoH, fdsB; formate dehydrogenase iron-sulfur subunit"
		K00125	fdhB; formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]
		K00126	fdsD; formate dehydrogenase subunit delta [EC:1.17.1.9]
		K00127	"fdoI, fdsG; formate dehydrogenase subunit gamma"
		K22515	fdwB; formate dehydrogenase beta subunit [EC:1.17.1.9]
		K22516	fdhA; formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6]
		K00125	fdhB; formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]
	Mixed acid: acetate	K00156	poxB; pyruvate dehydrogenase (quinone) [EC:1.2.5.1]
		K00158	"E1.2.3.3, poxL; pyruvate oxidase [EC:1.2.3.3]"
		K01512	acyP; acylphosphatase [EC:3.6.1.7]
		K00467	lactate 2-monooxygenase [EC:1.13.12.4]
		K01067	lactate 2-monooxygenase [EC:1.13.12.4]
		K04020	eutD; phosphotransacetylase
		K13788	pta; phosphate acetyltransferase
		K00625	"E2.3.1.8, pta; phosphate acetyltransferase [EC:2.3.1.8]"
		K01512	acyP; acylphosphatase [EC:3.6.1.7]
	"Mixed acid: ethanol, acetate to acetylaldehyde"	K00128	aldehyde dehydrogenase (NAD+)
		K14085	aldehyde dehydrogenase (NAD+)
		K00149	aldehyde dehydrogenase (NAD+)
		K00129	aldehyde dehydrogenase (NAD(P)+)
		K00138	aldB; aldehyde dehydrogenase
	"Mixed acid: ethanol, Acetyl-CoA to acetylaldehyde (reversible)"	K00132	acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]
		K04021	aldehyde dehydrogenase
		K04072	acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]
		K04073	acetaldehyde dehydrogenase [EC:1.2.1.10]
		K18366	acetaldehyde/propanal dehydrogenase [EC:1.2.1.10 1.2.1.87]
	"Mixed acid: ethanol, acetylaldehyde to ethanol"	K13951	alcohol dehydrogenase
		K13980	alcohol dehydrogenase
		K13952	alcohol dehydrogenase
		K13953	alcohol dehydrogenase
		K13954	alcohol dehydrogenase
		K00001	alcohol dehydrogenase
		K00121	alcohol dehydrogenase
		K04072	alcohol dehydrogenase
		K18857	alcohol dehydrogenase
		K14028	"mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]"
		K14029	"mdh2, mxaI; methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]"
		K00114	exaA; alcohol dehydrogenase (cytochrome c)
		K00002	adh; alcohol dehydrogenase (NADP+)
		K04022	eutG; alcohol dehydrogenase
	"Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)"	K01595	ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31]
		K01596	pckA; phosphoenolpyruvate carboxykinase (GTP)
		K20370	PEPCK; phosphoenolpyruvate carboxykinase (diphosphate)
		K01610	pckA; phosphoenolpyruvate carboxykinase (ATP)
		K00025	MDH1; malate dehydrogenase [EC:1.1.1.37]
		K00026	MDH2; malate dehydrogenase [EC:1.1.1.37]
		K00024	mdh; malate dehydrogenase
		K00051	malate dehydrogenase (NADP+)
		K00116	mqo; malate dehydrogenase (quinone)
		K01676	"E4.2.1.2A, fumA, fumB; fumarate hydratase, class I [EC:4.2.1.2]"
		K01679	"E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]"
		K01677	"E4.2.1.2AA, fumA; fumarate hydratase subunit alpha [EC:4.2.1.2]"
		K01678	"E4.2.1.2AB, fumB; fumarate hydratase subunit beta [EC:4.2.1.2]"
		K00244	frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]
		K00245	frdB; fumarate reductase flavoprotein subunit [EC:1.3.5.4]
		K00246	frdC; fumarate reductase flavoprotein subunit [EC:1.3.5.4]
		K00247	frdD; fumarate reductase flavoprotein subunit [EC:1.3.5.4]
Anaplerotic Reaction	Glyoxylate shunt	K01637	aceA; isocitrate lyase
		K01638	aceB; malate synthase
		K19282	aceB; bifunctional (S)-malyl-CoA lyase/thioesterase [EC:4.1.3.24 3.1.2.30]
	Anaplerotic genes	K00029	maeB; malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+)
		K00027	"ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]"
		K00028	E1.1.1.39; malate dehydrogenase (decarboxylating) [EC:1.1.1.39]
		K01958	pyruvate carboxylase
		K01959	pycA; pyruvate carboxylase subunit A [EC:6.4.1.1]
		K01960	pycB; pyruvate carboxylase subunit B [EC:6.4.1.1]
		K01595	ppc; phosphoenolpyruvate carboxylase
		K01610	pckA; phosphoenolpyruvate carboxykinase (ATP)
		K01596	pckA; phosphoenolpyruvate carboxykinase (GTP)
		K20370	PEPCK; phosphoenolpyruvate carboxykinase (diphosphate)
Nitrogen metabolism	"Dissimilatory nitrate reduction, nitrate -> nitrite (narGHI or napAB)"	K00370	"narG, narZ, nxrA; nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]"
		K00371	"narH, narY, nxrB; nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]"
		K00374	"narI, narV; nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]"
		K02567	napA; nitrate reductase (cytochrome) [EC:1.9.6.1]
		K02568	"napB; nitrate reductase (cytochrome), electron transfer subunit"
	"Dissimilatory nitrate reduction, nitrite -> ammonia (nirBD or nrfAH)"	K00362	nirB; nitrite reductase (NADH) large subunit [EC:1.7.1.15]
		K00363	nirD; nitrite reductase (NADH) small subunit [EC:1.7.1.15]
		K03385	nrfA; nitrite reductase (cytochrome c-552) [EC:1.7.2.2]
		K15876	nrfH; cytochrome c nitrite reductase small subunit
	"Assimilatory nitrate reduction, nitrate -> nitrite (narB or NR or nasAB)"	K00367	narB; ferredoxin-nitrate reductase [EC:1.7.7.2]
		K10534	NR; nitrate reductase (NAD(P)H) [EC:1.7.1.1 1.7.1.2 1.7.1.3]
		K00372	nasA; assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]
		K00360	nasB; assimilatory nitrate reductase electron transfer subunit [EC:1.7.99.-]
	"Assimilatory nitrate reduction, nitrite -> ammonia (NIT-6 or nirA)"	K17877	NIT-6; nitrite reductase (NAD(P)H) [EC:1.7.1.4]
		K00366	nirA; ferredoxin-nitrite reductase [EC:1.7.7.1]
	"Denitrification, nitrite -> nitric oxide (nirK or nirS) "	K00368	nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]
		K15864	nirS; nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]
	"Denitrification, nitric oxide -> nitrous oxide (norBC) "	K04561	norB; nitric oxide reductase subunit B [EC:1.7.2.5]
		K02305	norC; nitric oxide reductase subunit C
	"Denitrification, nitrous oxide -> nitrogen (nosZ) "	K00376	nosZ; nitrous-oxide reductase [EC:1.7.2.4]
	"Nitrogen fixation, nitrogen -> ammonia (nifKDH or vnfDKGH) "	K02588	nifH; nitrogenase iron protein NifH
		K02586	nifD; nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]
		K02591	nifK; nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]
		K22896	vnfD; vanadium-dependent nitrogenase alpha chain [EC:1.18.6.2]
		K22897	vnfK; vanadium-dependent nitrogenase beta chain [EC:1.18.6.2]
		K22898	vnfG; vanadium nitrogenase delta subunit [EC:1.18.6.2]
		K22899	vnfH; vanadium nitrogenase iron protein
	"Nitrification, ammonia -> hydroxylamine (amoABC) "	K10944	pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]
		K10945	pmoB-amoB; methane/ammonia monooxygenase subunit B
		K10946	pmoC-amoC; methane/ammonia monooxygenase subunit C
	"Nitrification, hydroxylamine -> nitrite (hao) "	K10535	hao; hydroxylamine dehydrogenase [EC:1.7.2.6]
	"Nitrification, nitrite -> nitrate (nxrAB) "	K00370	"narG, narZ, nxrA; nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]"
		K00371	"narH, narY, nxrB; nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]"
	"Anammox, nitric oxide + ammonia -> hydrazine (hzs) "	K20932	hydrazine synthase subunit [EC:1.7.2.7]
		K20933	hydrazine synthase subunit [EC:1.7.2.7]
		K20934	hydrazine synthase subunit [EC:1.7.2.7]
	"Anammox, hydrazine -> nitrogen (hdh)"	K20935	hdh; hydrazine dehydrogenase [EC:1.7.2.8]
Sulfur metabolism	"Assimilatory sulfate reduction, sulfate -> sulfite"	K13811	PAPSS; 3'-phosphoadenosine 5'-phosphosulfate synthase [EC:2.7.7.4 2.7.1.25]
		K00958	"sat, met3; sulfate adenylyltransferase [EC:2.7.7.4]"
		K00955	cysNC; bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]
		K00957	cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]
		K00956	cysN; sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]
		K00860	cysN; sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]
		K13811	PAPSS; 3'-phosphoadenosine 5'-phosphosulfate synthase [EC:2.7.7.4 2.7.1.25]
	"Assimilatory sulfate reduction, sulfite -> sulfide (cysJI or sir) "	K00380	sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]
		K00381	sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]
		K00392	sulfite reductase (ferredoxin) [EC:1.8.7.1]
	"Dissimilatory sulfate reduction, sulfate -> sulfite (reversible) (sat and aprAB) "	K00956	cysN; sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]
		K00957	cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]
		K00958	"sat, met3; sulfate adenylyltransferase [EC:2.7.7.4]"
		K00394	"aprA; adenylylsulfate reductase, subunit A [EC:1.8.99.2]"
		K00395	"aprB; adenylylsulfate reductase, subunit B [EC:1.8.99.2]"
	"Dissimilatory sulfate reduction, sulfite -> sulfide (reversible) (dsrAB) "	K11180	dsrA; dissimilatory sulfite reductase alpha subunit [EC:1.8.99.5]
		K11181	dsrB; dissimilatory sulfite reductase beta subunit [EC:1.8.99.5]
	"Thiosulfate oxidation by SOX complex, thiosulfate -> sulfate"	K17222	soxA; L-cysteine S-thiosulfotransferase [EC:2.8.5.2]
		K17223	soxX; L-cysteine S-thiosulfotransferase [EC:2.8.5.2]
		K17224	soxB; S-sulfosulfanyl-L-cysteine sulfohydrolase [EC:3.1.6.20]
		K17225	soxC; sulfane dehydrogenase subunit SoxC
		K22622	soxD; S-disulfanyl-L-cysteine oxidoreductase SoxD [EC:1.8.2.6]
		K17226	soxY; sulfur-oxidizing protein SoxY
		K17227	soxZ; sulfur-oxidizing protein SoxZ
	Alternative thiosulfate oxidation (doxAD) 	K16936	doxA; thiosulfate dehydrogenase [quinone] small subunit [EC:1.8.5.2]
		K16937	doxD; thiosulfate dehydrogenase [quinone] large subunit [EC:1.8.5.2]
	Alternative thiosulfate oxidation (tsdA) 	K19713	tsdA; thiosulfate dehydrogenase [EC:1.8.2.2]
	"Sulfur reduction, sulfur -> sulfide (sreABC) "	K17219	sreA; sulfur reductase molybdopterin subunit
		K17220	sreB; sulfur reductase FeS subunit
		K17221	sreC; sulfur reductase membrane anchor
	"Thiosulfate disproportionation, thiosulfate -> sulfide & sulfite (phsABC) "	K08352	phsA; thiosulfate reductase / polysulfide reductase chain A
		K08353	phsB; thiosulfate reductase electron transport protein
		K08354	phsC; thiosulfate reductase cytochrome b subunit
	"Sulfhydrogenase, (sulfide)n -> (sulfide)n-1 "	K17993	hydA; sulfhydrogenase subunit alpha
		K17994	hydD; sulfhydrogenase subunit delta
		K17995	hydG; sulfhydrogenase subunit gamma (sulfur reductase)
		K17996	hydB; sulfhydrogenase subunit beta (sulfur reductase)
	"Sulfur disproportionation, sulfur -> sulfide & sulfite "	K16952	sor; sulfur oxygenase/reductase [EC:1.13.11.55]
	Sulfur dioxygenase 	K17725	ETHE1; sulfur dioxygenase
	"Sulfite oxidation, sulfite -> sulfate (sorB, SUOX, soeABC) "	K05301	sorB; sulfite dehydrogenase
		K00387	SUOX; sulfite oxidase [EC:1.8.3.1]
		K21307	soeA; sulfite dehydrogenase (quinone) subunit SoeA [EC:1.8.5.6]
		K21308	soeB; sulfite dehydrogenase (quinone) subunit SoeB
		K21309	soeC; sulfite dehydrogenase (quinone) subunit SoeC
	"Sulfide oxidation, sulfide -> sulfur (fccAB)"	K17229	fccB; sulfide dehydrogenase [flavocytochrome c] flavoprotein chain
		K17230	fccA; cytochrome subunit of sulfide dehydrogenase
	"DMSP biosynthesis, L-Met -> DMSP (DSYB or dsyB or mmtN)"	MmtN	Met-methylating enzymes
		DSYB_euka	methylthiohydroxybutryrate
		DsyB_prok	methylthiohydroxybutryrate
	"DMSP demethylation, DMSP -> MMPA (dmdA)"	DmdA	DMSP demethylase
	"DMSP demethylation, MMPA -> MeSH (dmdBCD or acuH)"	DmdB	MMPA-CoA ligase
		DmdC	MMPA-CoA dehydrogenase
		DmdD	methylthioacryloyl-CoA hydratase
		AcuH	acryloyl-CoA hydratase
	"DMSP cleavage, DMSP -> DMS (ddds or alma1)"	Alma1	DMSP lyase
		DddD	DMSP lyase
		DddK	DMSP lyase
		DddL	DMSP lyase
		DddP	DMSP lyase
		DddQ	DMSP lyase
		DddW	DMSP lyase
		DddY	DMSP lyase
	"DMS oxidation, DMS -> MeSH (dmoA)"	DmoA	dimethylsulfide monooxgenase
	"DMS oxidation, DMS -> DMSO (ddhA or tmm)"	DdhA	dimethylsulfide dehydrogenase
		Tmm	trimethylamine monooxygenase
	"DMSO reduction, DMSO -> DMS (dMSOR)"	DMSOR	dimethyl sulfoxide reductase
	"MddA pathway, MeSH -> DMS (mddA)"	MddA	MeSH S-methyltransferase
	"MeSH oxidation, MeSH -> Formaldehyde (mTO)"	MTO	MeSH oxidase
Oxidative phosphorylation	F-type ATPase	K02111	"ATPF1A, atpA; F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]"
		K02112	"ATPF1B, atpD; F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]"
		K02113	"ATPF1D, atpH; F-type H+-transporting ATPase subunit delta"
		K02114	"ATPF1E, atpC; F-type H+-transporting ATPase subunit epsilon"
		K02115	"ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma"
		K02108	"ATPF0A, atpB; F-type H+-transporting ATPase subunit a"
		K02109	"ATPF0B, atpF; F-type H+-transporting ATPase subunit b"
		K02110	"ATPF0C, atpE; F-type H+-transporting ATPase subunit c"
	V/A-type ATPase	K02117	"ATPVA, ntpA, atpA; V/A-type H+/Na+-transporting ATPase subunit A [EC:7.1.2.2 7.2.2.1]"
		K02118	"ATPVB, ntpB, atpB; V/A-type H+/Na+-transporting ATPase subunit B"
		K02119	"ATPVC, ntpC, atpC; V/A-type H+/Na+-transporting ATPase subunit C"
		K02120	"ATPVD, ntpD, atpD; V/A-type H+/Na+-transporting ATPase subunit D"
		K02121	"ATPVE, ntpE, atpE; V/A-type H+/Na+-transporting ATPase subunit E"
		K02122	"ATPVF, ntpF, atpF; V/A-type H+/Na+-transporting ATPase subunit F"
		K02107	"ATPVG, ahaH, atpH; V/A-type H+/Na+-transporting ATPase subunit G/H"
		K02123	"ATPVI, ntpI, atpI; V/A-type H+/Na+-transporting ATPase subunit I"
		K02124	"ATPVK, ntpK, atpK; V/A-type H+/Na+-transporting ATPase subunit K"
	NADH-quinone oxidoreductase	K00330	nuoA; NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]
		K00331	nuoB; NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]
		K00332	nuoC; NADH-quinone oxidoreductase subunit C [EC:7.1.1.2]
		K00333	nuoD; NADH-quinone oxidoreductase subunit D [EC:7.1.1.2]
		K13378	nuoCD; NADH-quinone oxidoreductase subunit C/D [EC:7.1.1.2]
		K13380	nuoBCD; NADH-quinone oxidoreductase subunit B/C/D [EC:7.1.1.2]
		K00334	nuoE; NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]
		K00335	nuoF; NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]
		K00336	nuoG; NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]
		K00337	nuoH; NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]
		K00338	nuoI; NADH-quinone oxidoreductase subunit I [EC:7.1.1.2]
		K00339	nuoJ; NADH-quinone oxidoreductase subunit J [EC:7.1.1.2]
		K00340	nuoK; NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]
		K00341	nuoL; NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]
		K00342	nuoM; NADH-quinone oxidoreductase subunit M [EC:7.1.1.2]
		K15863	nuoLM; NADH-quinone oxidoreductase subunit L/M [EC:7.1.1.2]
		K00343	nuoN; NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]
	NAD(P)H-quinone oxidoreductase 	K05574	ndhC; NAD(P)H-quinone oxidoreductase subunit 3
		K05582	ndhK; NAD(P)H-quinone oxidoreductase subunit K
		K05581	ndhJ; NAD(P)H-quinone oxidoreductase subunit J
		K05579	ndhH; NAD(P)H-quinone oxidoreductase subunit H
		K05572	ndhA; NAD(P)H-quinone oxidoreductase subunit 1
		K05580	ndhI; NAD(P)H-quinone oxidoreductase subunit I
		K05578	ndhG; NAD(P)H-quinone oxidoreductase subunit 6
		K05576	ndhE; NAD(P)H-quinone oxidoreductase subunit 4L
		K05577	ndhF; NAD(P)H-quinone oxidoreductase subunit 5
		K05575	ndhD; NAD(P)H-quinone oxidoreductase subunit 4
		K05573	ndhB; NAD(P)H-quinone oxidoreductase subunit 2
		K05583	"ndhL; NAD(P)H-quinone oxidoreductase subunit L, non-essential components"
		K05584	"ndhM; NAD(P)H-quinone oxidoreductase subunit M, non-essential components"
		K05585	"ndhN; NAD(P)H-quinone oxidoreductase subunit N, non-essential components"
	Succinate dehydrogenase (ubiquinone)	K00241	"sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit"
		K00242	"sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit"
		K18859	"sdhD, frdD; succinate dehydrogenase / fumarate reductase, subunit D"
		K18860	"sdhD, frdD; putative succinate dehydrogenase / fumarate reductase, subunit D"
		K00239	"sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]"
		K00240	"sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]"
	"Cytochrome c oxidase, cbb3-type"	K00404	ccoN; cytochrome c oxidase cbb3-type subunit I
		K00405	ccoO; cytochrome c oxidase cbb3-type subunit II
		K15862	ccoNO; cytochrome c oxidase cbb3-type subunit I/II (ccoNO can replace the combination of ccoN and ccoO)
		K00407	ccoQ; cytochrome c oxidase cbb3-type subunit IV
		K00406	ccoP; cytochrome c oxidase cbb3-type subunit III
	Cytochrome bd ubiquinol oxidase	K00425	cydA; cytochrome bd ubiquinol oxidase subunit I
		K00426	cydB; cytochrome bd ubiquinol oxidase subunit II
		K00424	cydX; cytochrome bd-I ubiquinol oxidase subunit X
		K22501	appX; cytochrome bd-II ubiquinol oxidase subunit AppX
	Cytochrome o ubiquinol oxidase	K02300	cyoD; cytochrome o ubiquinol oxidase subunit IV
		K02299	cyoC; cytochrome o ubiquinol oxidase subunit III
		K02298	cyoB; cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3]
		K02297	K02297  cyoA; cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3]
	"Cytochrome c oxidase, prokaryotes "	K02275	"coxB, ctaC; cytochrome c oxidase subunit II [EC:1.9.3.1]"
		K02274	"coxA, ctaD; cytochrome c oxidase subunit I [EC:1.9.3.1]"
		K02276	"coxC, ctaE; cytochrome c oxidase subunit III [EC:1.9.3.1]"
		K15408	coxAC; cytochrome c oxidase subunit I+III [EC:1.9.3.1]
